"Codigo","Descricao","dataInicioVigencia","dataFimVigencia","tipoAtoLegal","orgaoAtoLegal","numeroAtoLegal","anoAtoLegal"
"29.25","Compostos de funÃ§Ã£o carboxiimida (incluindo a sacarina e seus sais) ou de funÃ§Ã£o imina.",,,,,,
"2925.1","- Imidas e seus derivados; sais destes produtos:",,,,,,
"2925.11.00","-- Sacarina e seus sais",,,,,,
"2925.12.00","-- Glutetimida (DCI)",,,,,,
"2925.19","-- Outros",,,,,,
"2925.19.10","Talidomida",,,,,,
"2925.19.90","Outros",,,,,,
"2925.2","- Iminas e seus derivados; sais destes produtos:",,,,,,
"2925.21.00","-- Clordimeforme (ISO)",,,,,,
"2925.29","-- Outros",,,,,,
"2925.29.1","Arginina e seus sais",,,,,,
"2925.29.11","Aspartato de L-arginina",,,,,,
"2925.29.19","Outros",,,,,,
"2925.29.2","Guanidina e seus derivados; sais destes produtos",,,,,,
"2925.29.21","Guanidina",,,,,,
"2925.29.22","N,N'-Difenilguanidina",,,,,,
"2925.29.23","Clorexidina e seus sais",,,,,,
"2925.29.29","Outros",,,,,,
"2925.29.30","Amitraz",,,,,,
"2925.29.40","Isetionato de pentamidina",,,,,,
"2925.29.50","N-(3,7-Dimetil-7-hidroxioctilideno)antranilato de metila",,,,,,
"2925.29.90","Outros",,,,,,
"29.26","Compostos de funÃ§Ã£o nitrila.",,,,,,
"2926.10.00","- Acrilonitrila",,,,,,
"2926.20.00","- 1-Cianoguanidina (diciandiamida)",,,,,,
"2926.30","- Fenproporex (DCI) e seus sais; intermediÃ¡rio da metadona (DCI) (4-ciano-2-dimetilamino-4,4-difenilbutano)",,,,,,
"2926.30.1","Fenproporex e seus sais",,,,,,
"2926.30.11","Fenproporex",,,,,,
"2926.30.12","Sais",,,,,,
"2926.30.20","IntermediÃ¡rio da metadona",,,,,,
"2926.40.00","- alfa-Fenilacetoacetonitrila",,,,,,
"2926.90","- Outros",,,,,,
"2926.90.1","Verapamil e seus sais",,,,,,
"2926.90.11","Verapamil",,,,,,
"2926.90.12","Cloridrato",,,,,,
"2926.90.19","Outros",,,,,,
"2926.90.2","Ãlcool alfa-ciano-3-fenoxibenzÃ­lico e seus derivados; Ã©steres destes produtos",,,,,,
"2926.90.21","Ãlcool alfa-ciano-3-fenoxibenzÃ­lico",,,,,,
"2926.90.22","Ciflutrina",,,,,,
"2926.90.23","Cipermetrina",,,,,,
"2926.90.24","Deltametrina",,,,,,
"2926.90.25","Fenvalerato",,,,,,
"2926.90.26","Cialotrina (<i>cyhalothrin</i>)",,,,,,
"2926.90.29","Outros",,,,,,
"2926.90.30","Sais de intermediÃ¡rio da metadona",,,,,,
"2926.90.9","Outros",,,,,,
"2926.90.91","Adiponitrila (1,4-dicianobutano)",,,,,,
"2926.90.92","Cianidrina de acetona (acetona cianidrina)",,,,,,
"2926.90.93","Closantel",,,,,,
"2926.90.95","Clorotalonil",,,,,,
"2926.90.96","Cianoacrilatos de etila",,,,,,
"2926.90.99","Outros",,,,,,
"2927.00","Compostos diazoicos, azoicos ou azÃ³xicos.",,,,,,
"2927.00.10","Compostos diazoicos",,,,,,
"2927.00.2","Compostos azoicos",,,,,,
"2927.00.21","Azodicarbonamida",,,,,,
"2927.00.29","Outros",,,,,,
"2927.00.30","Compostos azÃ³xicos",,,,,,
"2928.00","Derivados orgÃ¢nicos da hidrazina e da hidroxilamina.",,,,,,
"2928.00.1","Acetoxima e seus derivados; sais destes produtos",,,,,,
"2928.00.11","Metiletilacetoxima",,,,,,
"2928.00.19","Outros",,,,,,
"2928.00.20","Carbidopa",,,,,,
"2928.00.30","2-Hidrazinoetanol",,,,,,
"2928.00.4","Fenilidrazina e seus derivados",,,,,,
"2928.00.41","Fenilidrazina",,,,,,
"2928.00.42","Derivados",,,,,,
"2928.00.90","Outros",,,,,,
"29.29","Compostos de outras funÃ§Ãµes nitrogenadas (azotadas).",,,,,,
"2929.10","- Isocianatos",,,,,,
"2929.10.10","Di-isocianato de difenilmetano",,,,,,
"2929.10.2","Di-isocianatos de tolueno",,,,,,
"2929.10.21","Mistura de isÃ´meros",,,,,,
"2929.10.29","Outros",,,,,,
"2929.10.30","Isocianato de 3,4-diclorofenila",,,,,,
"2929.10.90","Outros",,,,,,
"2929.90","- Outros",,,,,,
"2929.90.1","Ãcido ciclÃ¢mico e seus sais",,,,,,
"2929.90.11","De sÃ³dio",,,,,,
"2929.90.12","De cÃ¡lcio",,,,,,
"2929.90.19","Outros",,,,,,
"2929.90.3","Dialogenetos de N,N-dialquilfosforoamidatos, com grupos alquila de C<sub>1</sub> a C<sub>3</sub>",,,,,,
"2929.90.31","Dicloreto de N,N-dimetilfosforoamÃ­dico",,,,,,
"2929.90.39","Outros",,,,,,
"2929.90.40","N,N-Dialquilfosforoamidatos de dialquila, com grupos alquila de C<sub>1</sub> a C<sub>3</sub>",,,,,,
"2929.90.50","Fosfonamidofluoridatos de N-(1-(dialquila (de atÃ© C<sub>10</sub>, incluindo cicloalquila)amino))alquilideno (H ou de atÃ© C<sub>10</sub>, incluindo cicloalquila) e sais alquilados ou protonados destes produtos",,,,,,
"2929.90.60","Fosforamidofluoridatos de O-alquila (H ou de atÃ© C<sub>10</sub>, incluindo cicloalquila) N-(1-(dialquila (de atÃ© C<sub>10</sub>, incluindo  cicloalquila)amino))alquilideno (H ou de atÃ© C<sub>10</sub>, incluindo cicloalquila) e sais alquilados ou protonados destes produtos",,,,,,
"2929.90.90","Outros",,,,,,
"29.30","Tiocompostos orgÃ¢nicos.",,,,,,
"2930.10.00","- 2-(N,N-Dimetilamino)etanotiol",,,,,,
"2930.20","- Tiocarbamatos e ditiocarbamatos",,,,,,
"2930.20.1","Tiocarbamatos",,,,,,
"2930.20.11","EPTC",,,,,,
"2930.20.12","Cartap",,,,,,
"2930.20.13","Tiobencarb (dietiltiocarbamato de S-4-clorobenzila)",,,,,,
"2930.20.19","Outros",,,,,,
"2930.20.2","Ditiocarbamatos",,,,,,
"2930.20.21","Ziram; dimetilditiocarbamato de sÃ³dio",,,,,,
"2930.20.22","Dietilditiocarbamato de zinco",,,,,,
"2930.20.23","Dibutilditiocarbamato de zinco",,,,,,
"2930.20.24","Metam sÃ³dio",,,,,,
"2930.20.29","Outros",,,,,,
"2930.30","- Mono-, di- ou tetrassulfetos de tiourama",,,,,,
"2930.30.1","Monossulfetos",,,,,,
"2930.30.11","De tetrametiltiourama",,,,,,
"2930.30.12","Sulfiram",,,,,,
"2930.30.19","Outros",,,,,,
"2930.30.2","Dissulfetos",,,,,,
"2930.30.21","Thiram",,,,,,
"2930.30.22","Dissulfiram",,,,,,
"2930.30.29","Outros",,,,,,
"2930.30.90","Outros",,,,,,
"2930.40","- Metionina",,,,,,
"2930.40.10","DL-Metionina, com um teor de cinzas sulfatadas superior a 0,1Â %, em peso",,,,,,
"2930.40.90","Outra",,,,,,
"2930.60.00","- 2-(N,N-Dietilamino)etanotiol",,,,,,
"2930.70.00","- Sulfeto de bis(2-hidroxietila) (tiodiglicol (DCI))",,,,,,
"2930.80","- Aldicarb (ISO), captafol (ISO) e metamidofÃ³s (ISO)",,,,,,
"2930.80.10","Aldicarb",,,,,,
"2930.80.20","Captafol",,,,,,
"2930.80.30","MetamidofÃ³s",,,,,,
"2930.90","- Outros",,,,,,
"2930.90.1","TiÃ³is e seus derivados; sais destes produtos",,,,,,
"2930.90.11","Ãcido tioglicÃ³lico e seus sais",,,,,,
"2930.90.12","CisteÃ­na",,,,,,
"2930.90.13","N,N-Dialquil-2-aminoetanotiol, com grupos alquila de C<sub>1</sub> a C<sub>3</sub>, e seus sais protonados",,,,,,
"2930.90.19","Outros",,,,,,
"2930.90.2","Tioamidas e seus derivados; sais destes produtos",,,,,,
"2930.90.21","Tioureia",,,,,,
"2930.90.22","Tiofanato-Metila",,,,,,
"2930.90.23","4-Metil-3-tiosemicarbazida",,,,,,
"2930.90.29","Outros",,,,,,
"2930.90.3","TioÃ©teres, tioÃ©steres e seus derivados, exceto os produtos do item 2930.90.8; sais destes produtos",,,,,,
"2930.90.31","2-(Etiltio)etanol, com uma concentraÃ§Ã£o igual ou superior a 98Â %, em peso",,,,,,
"2930.90.32","3-(Metiltio)propanal",,,,,,
"2930.90.33","Clorotioformiato de S-etila",,,,,,
"2930.90.34","Ãcido 2-hidroxi-4-(metiltio)butanoico e seu sal cÃ¡lcico",,,,,,
"2930.90.35","Metomil",,,,,,
"2930.90.36","CarbocisteÃ­na",,,,,,
"2930.90.37","4-Sulfatoetilsulfonil-2,5-dimetoxianilina; 4-sulfatoetilsulfonil-2-metoxi-5-metilanilina; 4-sulfatoetilsulfonil-2-metoxianilina",,,,,,
"2930.90.39","Outros",,,,,,
"2930.90.4","Fosforotioatos e seus derivados; sais destes produtos",,,,,,
"2930.90.41","Fosforotioato de O,O-dietila e de S-[2-(dietilamino)etila] e seus sais alquilados ou protonados",,,,,,
"2930.90.42","Fosforotioato de O,O-dimetila e de S-[2-(1-metilcarbamoiletiltio)-etila)] (vamidotion)",,,,,,
"2930.90.43","Fosforotioato de O-(4-bromo-2-clorofenila) O-etila e de S-propila (profenofÃ³s)",,,,,,
"2930.90.49","Outros",,,,,,
"2930.90.5","Fosforoditioatos e seus derivados; sais destes produtos",,,,,,
"2930.90.51","Forato (ISO)",,,,,,
"2930.90.52","Dissulfoton",,,,,,
"2930.90.53","Etion",,,,,,
"2930.90.54","Dimetoato",,,,,,
"2930.90.57","Fosforoditioato de O,O-dimetila e de S-[2-(etiltio)etila] (tiometon)",,,,,,
"2930.90.59","Outros",,,,,,
"2930.90.6","Fosforoamidotioatos e seus derivados; sais destes produtos",,,,,,
"2930.90.61","Acefato",,,,,,
"2930.90.69","Outros",,,,,,
"2930.90.7","Sulfonas",,,,,,
"2930.90.71","Tiaprida",,,,,,
"2930.90.72","Bicalutamida",,,,,,
"2930.90.79","Outras",,,,,,
"2930.90.8","Sulfeto de 2-cloroetila e de clorometila; sulfeto de bis(2-cloroetila); bis(2-cloroetiltio)metano; 1,2-bis(2-cloroetiltio)etano; 1,3-bis(2-cloroetiltio)-<i>n</i>-propano; 1,4-bis(2-cloroetiltio)-<i>n</i>-butano; 1,5-bis(2-cloroetiltio)-<i>n</i>-pentano; Ã³xido de bis(2-cloroetiltiometila); Ã³xido de bis(2-cloroetiltioetila)",,,,,,
"2930.90.81","Sulfeto de 2-cloroetila e de clorometila",,,,,,
"2930.90.82","Sulfeto de bis(2-cloroetila)",,,,,,
"2930.90.83","Bis(2-cloroetiltio)metano",,,,,,
"2930.90.84","1,2-Bis(2-cloroetiltio)etano",,,,,,
"2930.90.85","1,3-Bis(2-cloroetiltio)-<i>n</i>-propano",,,,,,
"2930.90.86","1,4-Bis(2-cloroetiltio)-<i>n</i>-butano",,,,,,
"2930.90.87","1,5-Bis(2-cloroetiltio)-<i>n</i>-pentano",,,,,,
"2930.90.88","Ã“xido de bis(2-cloroetiltiometila)",,,,,,
"2930.90.89","Ã“xido de bis(2-cloroetiltioetila)",,,,,,
"2930.90.9","Outros",,,,,,
"2930.90.91","Captan",,,,,,
"2930.90.93","Metileno-bis-tiocianato",,,,,,
"2930.90.94","Dimetiltiofosforamida",,,,,,
"2930.90.95","Etilditiofosfonato de O-etila e de S-fenila (fonofÃ³s)",,,,,,
"2930.90.96","HidrogÃªnio alquil(de C<sub>1</sub> a C<sub>3</sub>)fosfonotioatos de [S-2-(dialquil(de C<sub>1</sub> a C<sub>3</sub>)amino)etila], seus Ã©steres de O-alquila (de atÃ© C<sub>10</sub>, incluindo os cicloalquila); sais alquilados ou protonados destes produtos",,,,,,
"2930.90.97","Outros compostos que contenham um Ã¡tomo de fÃ³sforo ligado a um grupo alquila (de C<sub>1</sub> a C<sub>3</sub>) mas sem outros Ã¡tomos de carbono",,,,,,
"2930.90.98","Ditiocarbonatos (xantatos e xantogenatos)",,,,,,
"2930.90.99","Outros",,,,,,
"29.31","Outros compostos organo-inorgÃ¢nicos.",,,,,,
"2931.10.00","- Tetrametila de chumbo e tetraetila de chumbo",,,,,,
"2931.20.00","- Compostos de tributilestanho",,,,,,
"2931.4","- Derivados organofosforados nÃ£o halogenados:",,,,,,
"2931.41.00","-- Metilfosfonato de dimetila",,,,,,
"2931.42.00","-- Propilfosfonato de dimetila",,,,,,
"2931.43.00","-- Etilfosfonato de dietila",,,,,,
"2931.44.00","-- Ãcido metilfosfÃ´nico",,,,,,
"2931.45.00","-- Sal do Ã¡cido metilfosfÃ´nico e de (aminoiminometil)ureia (1:1)",,,,,,
"2931.46.00","-- 2,4,6-TriÃ³xido de 2,4,6-tripropil-1,3,5,2,4,6-trioxatrifosfinano",,,,,,
"2931.47.00","-- Metilfosfonato de (5-etil-2-metil-2-Ã³xido-1,3,2-dioxafosfinan-5-il)metil metila",,,,,,
"2931.48.00","-- 3,9-DiÃ³xido de 3,9-dimetil-2,4,8,10-tetraoxa-3,9-difosfaspiro[5.5]undecano",,,,,,
"2931.49","-- Outros",,,,,,
"2931.49.1","Ãcido fosfonometiliminodiacÃ©tico; Ã¡cido aminotrimetilenofosfÃ´nico; difenilfosfonato(4,4'-bis((dimetoxifosfinil)metil)difenila); etidronato dissÃ³dico; glifosato e seu sal de monoisopropilamina; glufosinato de amÃ´nio; hidrogenofosfonato de bis(2-etilexilo)",,,,,,
"2931.49.11","Ãcido fosfonometiliminodiacÃ©tico; Ã¡cido aminotrimetilenofosfÃ´nico",,,,,,
"2931.49.12","Difenilfosfonato(4,4'-bis((dimetoxifosfinil)metil)difenila)",,,,,,
"2931.49.13","Etidronato dissÃ³dico",,,,,,
"2931.49.14","Glifosato e seu sal de monoisopropilamina",,,,,,
"2931.49.15","Glufosinato de amÃ´nio",,,,,,
"2931.49.16","Hidrogenofosfonato de bis(2-etilexilo)",,,,,,
"2931.49.20","HidrogÃªnio alquil(de C<sub>1</sub> a C<sub>3</sub>)fosfonitos de [O-2-(dialquil(de C<sub>1</sub> a C<sub>3</sub>)amino)etila], seus Ã©steres de O-alquila (de atÃ© C<sub>10</sub>, incluindo os cicloalquila); sais alquilados ou protonados destes produtos",,,,,,
"2931.49.3","Outros compostos que contenham um Ã¡tomo de fÃ³sforo ligado a um grupo alquila (de C<sub>1</sub> a C<sub>3</sub>) mas sem outros Ã¡tomos de carbono",,,,,,
"2931.49.31","Metilfosfinato de butila",,,,,,
"2931.49.32","Metilfosfonato de bis(1-metilpentila)",,,,,,
"2931.49.39","Outros",,,,,,
"2931.49.40","N,N-Dialquil(de C<sub>1</sub> a C<sub>3</sub>)fosforoamidocianidatos de O-alquila (de atÃ© C<sub>10</sub>, incluindo os cicloalquila)",,,,,,
"2931.49.90","Outros",,,,,,
"2931.5","- Derivados organofosforados halogenados:",,,,,,
"2931.51.00","-- Dicloreto metilfosfÃ´nico",,,,,,
"2931.52.00","-- Dicloreto propilfosfÃ´nico",,,,,,
"2931.53.00","-- Metilfosfonotionato de O-(3-cloropropil) O-[4-nitro-3-(trifluorometil)fenila]",,,,,,
"2931.54.00","-- Triclorfom (ISO)",,,,,,
"2931.59","-- Outros",,,,,,
"2931.59.1","Ãcido clodrÃ´nico e seu sal dissÃ³dico; etefon; fotemustina",,,,,,
"2931.59.11","Ãcido clodrÃ´nico e seu sal dissÃ³dico",,,,,,
"2931.59.12","Etefon",,,,,,
"2931.59.13","Fotemustina",,,,,,
"2931.59.9","Outros",,,,,,
"2931.59.91","Alquil(de C<sub>1</sub> a C<sub>3</sub>)fosfonofluoridatos de O-alquila (de atÃ© C<sub>10</sub>, incluindo os cicloalquila)",,,,,,
"2931.59.92","Metilfosfonocloridato de O-isopropila",,,,,,
"2931.59.93","Metilfosfonocloridato de O-pinacolila",,,,,,
"2931.59.94","Difluoreto de alquilfosfonila, com grupo alquila de C<sub>1</sub> a C<sub>3</sub>",,,,,,
"2931.59.95","Fosfonamidofluoridatos de P-alquila (de atÃ© C<sub>10</sub>, incluindo cicloalquila) N-(1-(dialquila (de atÃ© C<sub>10</sub>, incluindo cicloalquila)amino))alquilideno (H ou de atÃ© C<sub>10</sub>, incluindo cicloalquila) e sais alquilados ou protonados destes produtos",,,,,,
"2931.59.96","(Bis(dietilamina)metileno)fosfonamidofluoridato de metila",,,,,,
"2931.59.98","Outros compostos que contenham um Ã¡tomo de fÃ³sforo ligado a um grupo alquila (de C<sub>1</sub> a C<sub>3</sub>) mas sem outros Ã¡tomos de carbono",,,,,,
"2931.59.99","Outros",,,,,,
"2931.90","- Outros",,,,,,
"2931.90.2","Compostos organossilÃ­cicos",,,,,,
"2931.90.21","Bis(trimetilsilil)ureia",,,,,,
"2931.90.29","Outros",,,,,,
"2931.90.4","Compostos organometÃ¡licos do estanho",,,,,,
"2931.90.41","Acetato de trifenilestanho",,,,,,
"2931.90.42","Tetraoctilestanho",,,,,,
"2931.90.43","Ciexatin",,,,,,
"2931.90.44","HidrÃ³xido de trifenilestanho",,,,,,
"2931.90.45","Ã“xido de fembutatina",,,,,,
"2931.90.46","Sais de dimetil-estanho, de dibutil-estanho e de dioctil-estanho, dos Ã¡cidos carboxÃ­licos ou tioglicÃ³licos e de seus Ã©steres",,,,,,
"2931.90.49","Outros",,,,,,
"2931.90.5","Compostos organoarseniais",,,,,,
"2931.90.51","Ãcido metilarsÃ­nico e seus sais",,,,,,
"2931.90.52","2-Clorovinil-dicloroarsina",,,,,,
"2931.90.53","Bis(2-clorovinil)cloroarsina",,,,,,
"2931.90.54","Tris(2-clorovinil)arsina",,,,,,
"2931.90.59","Outros",,,,,,
"2931.90.6","Compostos organoalumÃ­nicos",,,,,,
"2931.90.61","Tricloreto de etilalumÃ­nio (sesquicloreto de etilalumÃ­nio)",,,,,,
"2931.90.62","Cloreto de dietilalumÃ­nio",,,,,,
"2931.90.69","Outros",,,,,,
"2931.90.90","Outros",,,,,,
"29.32","Compostos heterocÃ­clicos exclusivamente de heteroÃ¡tomo(s) de oxigÃªnio.",,,,,,
"2932.1","- Compostos cuja estrutura contÃ©m um ciclo furano (hidrogenado ou nÃ£o) nÃ£o condensado:",,,,,,
"2932.11.00","-- Tetra-hidrofurano",,,,,,
"2932.12.00","-- 2-FuraldeÃ­do (furfural)",,,,,,
"2932.13","-- Ãlcool furfurÃ­lico e Ã¡lcool tetra-hidrofurfurÃ­lico",,,,,,
"2932.13.10","Ãlcool furfurÃ­lico",,,,,,
"2932.13.20","Ãlcool tetra-hidrofurfurÃ­lico",,,,,,
"2932.14.00","-- Sucralose",,,,,,
"2932.19","-- Outros",,,,,,
"2932.19.10","Ranitidina e seus sais",,,,,,
"2932.19.20","Nafronil",,,,,,
"2932.19.30","Nitrovin",,,,,,
"2932.19.40","Bioresmetrina",,,,,,
"2932.19.50","Diacetato de 5-nitrofurfurilideno (NFDA)",,,,,,
"2932.19.90","Outros",,,,,,
"2932.20.00","- Lactonas",,,,,,
"2932.9","- Outros:",,,,,,
"2932.91.00","-- Isosafrol",,,,,,
"2932.92.00","-- 1-(1,3-Benzodioxol-5-il)propan-2-ona",,,,,,
"2932.93.00","-- Piperonal",,,,,,
"2932.94.00","-- Safrol",,,,,,
"2932.95.00","-- Tetra-hidrocanabinÃ³is (todos os isÃ´meros)",,,,,,
"2932.96.00","-- Carbofurano (ISO)",,,,,,
"2932.99","-- Outros",,,,,,
"2932.99.1","Eucaliptol; quercetina; dinitrato de isossorbida",,,,,,
"2932.99.11","Eucaliptol",,,,,,
"2932.99.12","Quercetina",,,,,,
"2932.99.13","Dinitrato de isossorbida",,,,,,
"2932.99.9","Outros",,,,,,
"2932.99.91","Cloridrato de amiodarona",,,,,,
"2932.99.92","1,3,4,6,7,8-Hexaidro-4,6,6,7,8,8-hexametilciclopenta-gama-2-benzopirano",,,,,,
"2932.99.93","Dibenzilideno-sorbitol",,,,,,
"2932.99.94","Carbosulfan ((dibutilaminotio)metilcarbamato de 2,3-di-hidro-2,2-dimetilbenzofuran-7-ila)",,,,,,
"2932.99.99","Outros",,,,,,
"29.33","Compostos heterocÃ­clicos exclusivamente de heteroÃ¡tomo(s) de nitrogÃªnio (azoto).",,,,,,
"2933.1","- Compostos cuja estrutura contÃ©m um ciclo pirazol (hidrogenado ou nÃ£o) nÃ£o condensado:",,,,,,
"2933.11","-- Fenazona (antipirina) e seus derivados",,,,,,
"2933.11.1","Ãcido 1-fenil-2,3-dimetil-5-pirazolona-4-metilaminometanossulfÃ´nico e seus sais",,,,,,
"2933.11.11","Dipirona",,,,,,
"2933.11.12","Magnopirol (dipirona magnÃ©sica)",,,,,,
"2933.11.19","Outros",,,,,,
"2933.11.20","Metileno-bis(4-metilamino-1-fenil-2,3-dimetil)pirazolona",,,,,,
"2933.11.90","Outros",,,,,,
"2933.19","-- Outros",,,,,,
"2933.19.1","Fenilbutazona e seus sais",,,,,,
"2933.19.11","Fenilbutazona cÃ¡lcica",,,,,,
"2933.19.19","Outros",,,,,,
"2933.19.90","Outros",,,,,,
"2933.2","- Compostos cuja estrutura contÃ©m um ciclo imidazol (hidrogenado ou nÃ£o) nÃ£o condensado:",,,,,,
"2933.21","-- HidantoÃ­na e seus derivados",,,,,,
"2933.21.10","Iprodiona",,,,,,
"2933.21.2","FenitoÃ­na e seus sais",,,,,,
"2933.21.21","FenitoÃ­na e seu sal sÃ³dico",,,,,,
"2933.21.29","Outros",,,,,,
"2933.21.90","Outros",,,,,,
"2933.29","-- Outros",,,,,,
"2933.29.1","Cuja estrutura contÃ©m um ciclo nitroimidazol",,,,,,
"2933.29.11","2-Metil-5-nitroimidazol",,,,,,
"2933.29.12","Metronidazol e seus sais",,,,,,
"2933.29.13","Tinidazol",,,,,,
"2933.29.19","Outros",,,,,,
"2933.29.2","Cuja estrutura contÃ©m um ciclo benzeno clorado, exceto os que contenham um ciclo nitroimidazol",,,,,,
"2933.29.21","Econazol e seu nitrato",,,,,,
"2933.29.22","Nitrato de miconazol",,,,,,
"2933.29.23","Cloridrato de clonidina",,,,,,
"2933.29.24","Nitrato de isoconazol",,,,,,
"2933.29.25","Clotrimazol",,,,,,
"2933.29.29","Outros",,,,,,
"2933.29.30","Cimetidina e seus sais",,,,,,
"2933.29.40","4-Metil-5-hidroximetilimidazol e seus sais",,,,,,
"2933.29.9","Outros",,,,,,
"2933.29.91","Imidazol",,,,,,
"2933.29.92","Histidina e seus sais",,,,,,
"2933.29.93","Ondansetron e seus sais",,,,,,
"2933.29.94","1-Hidroxietil-2-undecanoilimidazolina",,,,,,
"2933.29.95","1-Hidroxietil-2-(8-heptadecenoil)imidazolina",,,,,,
"2933.29.99","Outros",,,,,,
"2933.3","- Compostos cuja estrutura contÃ©m um ciclo piridina (hidrogenado ou nÃ£o) nÃ£o condensado:",,,,,,
"2933.31","-- Piridina e seus sais",,,,,,
"2933.31.10","Piridina",,,,,,
"2933.31.20","Sais",,,,,,
"2933.32.00","-- Piperidina e seus sais",,,,,,
"2933.33","-- Alfentanila (DCI), anileridina (DCI), bezitramida (DCI), bromazepam (DCI), carfentanila (DCI), cetobemidona (DCI), difenoxilato (DCI), difenoxina (DCI), dipipanona (DCI), fenciclidina (DCI) (PCP), fenoperidina (DCI), fentanila (DCI), metilfenidato (DCI), pentazocina (DCI), petidina (DCI), intermediÃ¡rio A da petidina (DCI), pipradrol (DCI), piritramida (DCI), propiram (DCI), remifentanila (DCI) e trimeperidina (DCI); sais destes produtos",,,,,,
"2933.33.1","Alfentanila e anileridina; sais destes produtos",,,,,,
"2933.33.11","Alfentanila",,,,,,
"2933.33.12","Anileridina",,,,,,
"2933.33.19","Outros",,,,,,
"2933.33.2","Bezitramida e bromazepam; sais destes produtos",,,,,,
"2933.33.21","Bezitramida",,,,,,
"2933.33.22","Bromazepam",,,,,,
"2933.33.29","Outros",,,,,,
"2933.33.3","Carfentanila e cetobemidona; sais destes produtos",,,,,,
"2933.33.31","Carfentanila",,,,,,
"2933.33.32","Cetobemidona",,,,,,
"2933.33.39","Outros",,,,,,
"2933.33.4","Difenoxilato e seus sais",,,,,,
"2933.33.41","Difenoxilato",,,,,,
"2933.33.42","Cloridrato de difenoxilato",,,,,,
"2933.33.49","Outros",,,,,,
"2933.33.5","Difenoxina e dipipanona; sais destes produtos",,,,,,
"2933.33.51","Difenoxina",,,,,,
"2933.33.52","Dipipanona",,,,,,
"2933.33.59","Outros",,,,,,
"2933.33.6","Fenciclidina, fenoperidina e fentanila; sais destes produtos",,,,,,
"2933.33.61","Fenciclidina",,,,,,
"2933.33.62","Fenoperidina",,,,,,
"2933.33.63","Fentanila",,,,,,
"2933.33.69","Outros",,,,,,
"2933.33.7","Metilfenidato e pentazocina; sais destes produtos",,,,,,
"2933.33.71","Metilfenidato",,,,,,
"2933.33.72","Pentazocina",,,,,,
"2933.33.79","Outros",,,,,,
"2933.33.8","Petidina, intermediÃ¡rio A da petidina e pipradrol; sais destes produtos",,,,,,
"2933.33.81","Petidina",,,,,,
"2933.33.82","IntermediÃ¡rio A da petidina",,,,,,
"2933.33.83","Pipradrol",,,,,,
"2933.33.84","Cloridrato de petidina",,,,,,
"2933.33.89","Outros",,,,,,
"2933.33.9","Piritramida, propiram, remifentanila e trimeperidina; sais destes produtos",,,,,,
"2933.33.91","Piritramida",,,,,,
"2933.33.92","Propiram",,,,,,
"2933.33.93","Trimeperidina",,,,,,
"2933.33.94","Remifentanila",,,,,,
"2933.33.99","Outros",,,,,,
"2933.34.00","-- Outras fentanilas e seus derivados",,,,,,
"2933.35.00","-- Quinuclidin-3-ol",,,,,,
"2933.36.00","-- 4-Anilino-N-fenetilpiperidina (ANPP)",,,,,,
"2933.37.00","-- N-Fenetil-4-piperidona (NPP)",,,,,,
"2933.39","-- Outros",,,,,,
"2933.39.1","Cuja estrutura contÃ©m flÃºor, bromo ou ambos, em ligaÃ§Ã£o covalente",,,,,,
"2933.39.12","Droperidol",,,,,,
"2933.39.13","Ãcido niflÃºmico",,,,,,
"2933.39.14","Haloxifop (Ã¡cido (RS)-2-(4-(3-cloro-5-trifluorometil-2-piridiloxi)fenoxi)propiÃ´nico)",,,,,,
"2933.39.15","Haloperidol",,,,,,
"2933.39.19","Outros",,,,,,
"2933.39.2","Cuja estrutura contÃ©m cloro, mas nÃ£o contÃ©m flÃºor nem bromo, em ligaÃ§Ã£o covalente",,,,,,
"2933.39.21","Picloram",,,,,,
"2933.39.22","ClorpirifÃ³s",,,,,,
"2933.39.23","Malato Ã¡cido de cleboprida (malato de cleboprida)",,,,,,
"2933.39.24","Cloridrato de loperamida",,,,,,
"2933.39.25","Ãcido 2-(2-metil-3-cloroanilino)nicotÃ­nico e seu sal de lisina",,,,,,
"2933.39.29","Outros",,,,,,
"2933.39.3","Cuja estrutura contÃ©m funÃ§Ãµes Ã¡lcool, Ã¡cido carboxÃ­lico ou ambas, mas nÃ£o contÃ©m halogÃªnios em ligaÃ§Ã£o covalente",,,,,,
"2933.39.31","Terfenadina",,,,,,
"2933.39.32","Biperideno e seus sais",,,,,,
"2933.39.33","Ãcido isonicotÃ­nico",,,,,,
"2933.39.34","5-Etil-2,3-dicarboxipiridina (5-EPDC)",,,,,,
"2933.39.35","Imazetapir (Ã¡cido (RS)-5-etil-2-(4-isopropil-4-metil-5-oxo-2-imidazolin-2-il)nicotÃ­nico)",,,,,,
"2933.39.36","Dibrometo de 1-[N,N-dialquila (de atÃ© C<sub>10</sub>) -N-(n-hidroxialquil (de atÃ© C<sub>10</sub>))amÃ´nio]-n-[N-(3-dimetilcarbamoxi-alfa-picolinil)-N,N-dialquil (de atÃ© C<sub>10</sub>) amÃ´nio]decano (n=1-8)",,,,,,
"2933.39.37","Benzilato de 3-quinuclidinila",,,,,,
"2933.39.39","Outros",,,,,,
